G,Date,Start (ET),Opponent,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Result,Team,TeamAbbr,Scraped_Date,Location,Home,gameLocation
38,2025-01-15,10:00p,Miami Heat,117.0,108.0,21,17,W 1,17005,2:03,,W,Los Angeles Lakers,LAL,2025-03-11,,True,1.0
39,2025-01-17,10:30p,Brooklyn Nets,102.0,101.0,22,17,W 2,18473,2:03,,W,Los Angeles Lakers,LAL,2025-03-11,@,False,0.0
40,2025-01-19,9:00p,Los Angeles Clippers,102.0,116.0,22,18,L 1,17927,2:07,,L,Los Angeles Lakers,LAL,2025-03-11,,True,1.0
41,2025-01-21,10:30p,Washington Wizards,111.0,88.0,23,18,W 1,18672,2:08,,W,Los Angeles Lakers,LAL,2025-03-11,@,False,0.0
42,2025-01-23,10:00p,Boston Celtics,117.0,96.0,24,18,W 2,18997,2:08,,W,Los Angeles Lakers,LAL,2025-03-11,@,False,0.0
43,2025-01-25,8:30p,Golden State Warriors,118.0,108.0,25,18,W 3,18064,2:16,,W,Los Angeles Lakers,LAL,2025-03-11,@,False,0.0
44,2025-01-27,7:00p,Charlotte Hornets,112.0,107.0,26,18,W 4,19483,2:16,,W,Los Angeles Lakers,LAL,2025-03-11,@,False,0.0
45,2025-01-28,7:30p,Philadelphia 76ers,104.0,118.0,26,19,L 1,19775,2:18,,L,Los Angeles Lakers,LAL,2025-03-11,@,False,0.0
46,2025-01-30,7:00p,Washington Wizards,134.0,96.0,27,19,W 1,17491,2:14,,W,Los Angeles Lakers,LAL,2025-03-11,@,False,0.0
47,2025-02-01,8:30p,New York Knicks,128.0,112.0,28,19,W 2,19812,2:18,,W,Los Angeles Lakers,LAL,2025-03-11,,True,1.0
48,2025-02-04,10:00p,Los Angeles Clippers,122.0,97.0,29,19,W 3,17927,2:13,,W,Los Angeles Lakers,LAL,2025-03-11,,True,1.0
49,2025-02-06,10:00p,Golden State Warriors,120.0,112.0,30,19,W 4,18997,2:30,,W,Los Angeles Lakers,LAL,2025-03-11,,True,1.0
50,2025-02-08,4:00p,Indiana Pacers,124.0,117.0,31,19,W 5,18997,2:37,,W,Los Angeles Lakers,LAL,2025-03-11,@,False,0.0
51,2025-02-10,10:30p,Utah Jazz,132.0,113.0,32,19,W 6,18997,2:14,,W,Los Angeles Lakers,LAL,2025-03-11,,True,1.0
52,2025-02-12,9:00p,Utah Jazz,119.0,131.0,32,20,L 1,18175,2:11,,L,Los Angeles Lakers,LAL,2025-03-11,@,False,0.0
53,2025-02-19,10:00p,Charlotte Hornets,97.0,100.0,32,21,L 2,18997,2:15,,L,Los Angeles Lakers,LAL,2025-03-11,@,False,0.0
54,2025-02-20,10:00p,Portland Trail Blazers,110.0,102.0,33,21,W 1,19399,2:21,,W,Los Angeles Lakers,LAL,2025-03-11,,True,1.0
55,2025-02-22,8:30p,Denver Nuggets,123.0,100.0,34,21,W 2,19998,2:24,,W,Los Angeles Lakers,LAL,2025-03-11,,True,1.0
56,2025-02-25,10:00p,Dallas Mavericks,107.0,99.0,35,21,W 3,18997,2:16,,W,Los Angeles Lakers,LAL,2025-03-11,,True,1.0
57,2025-02-27,10:30p,Minnesota Timberwolves,111.0,102.0,36,21,W 4,18997,2:28,,W,Los Angeles Lakers,LAL,2025-03-11,,True,1.0
58,2025-02-28,10:00p,Los Angeles Clippers,106.0,102.0,37,21,W 5,18997,2:25,,W,Los Angeles Lakers,LAL,2025-03-11,,True,1.0
59,2025-03-02,9:30p,Los Angeles Clippers,108.0,102.0,38,21,W 6,18997,2:14,,W,Los Angeles Lakers,LAL,2025-03-11,,True,1.0
60,2025-03-04,10:30p,New Orleans Pelicans,136.0,115.0,39,21,W 7,18997,2:10,,W,Los Angeles Lakers,LAL,2025-03-11,@,False,0.0
61,2025-03-06,10:00p,New York Knicks,113.0,109.0,40,21,W 8,18997,2:52,,W,Los Angeles Lakers,LAL,2025-03-11,@,False,0.0
62,2025-03-08,8:30p,Boston Celtics,101.0,111.0,40,22,L 1,19156,2:18,,L,Los Angeles Lakers,LAL,2025-03-11,@,False,0.0
63,2025-03-10,7:30p,Brooklyn Nets,108.0,111.0,40,23,L 2,18215,2:18,,L,Los Angeles Lakers,LAL,2025-03-11,,True,1.0
64,2025-03-13,7:30p,Milwaukee Bucks,,,,,,,,,,Los Angeles Lakers,LAL,2025-03-11,,True,1.0
65,2025-03-14,9:30p,Denver Nuggets,,,,,,,,,,Los Angeles Lakers,LAL,2025-03-11,,True,1.0
66,2025-03-16,3:30p,Phoenix Suns,,,,,,,,,,Los Angeles Lakers,LAL,2025-03-11,,True,1.0
67,2025-03-17,10:30p,San Antonio Spurs,,,,,,,,,,Los Angeles Lakers,LAL,2025-03-11,,True,1.0
68,2025-03-19,10:00p,Denver Nuggets,,,,,,,,,,Los Angeles Lakers,LAL,2025-03-11,@,False,0.0
69,2025-03-20,10:30p,Milwaukee Bucks,,,,,,,,,,Los Angeles Lakers,LAL,2025-03-11,@,False,0.0
70,2025-03-22,10:30p,Chicago Bulls,,,,,,,,,,Los Angeles Lakers,LAL,2025-03-11,@,False,0.0
71,2025-03-24,7:00p,Orlando Magic,,,,,,,,,,Los Angeles Lakers,LAL,2025-03-11,@,False,0.0
72,2025-03-26,7:30p,Indiana Pacers,,,,,,,,,,Los Angeles Lakers,LAL,2025-03-11,,True,1.0
73,2025-03-27,8:00p,Chicago Bulls,,,,,,,,,,Los Angeles Lakers,LAL,2025-03-11,,True,1.0
74,2025-03-29,8:00p,Memphis Grizzlies,,,,,,,,,,Los Angeles Lakers,LAL,2025-03-11,,True,1.0
75,2025-03-31,10:00p,Houston Rockets,,,,,,,,,,Los Angeles Lakers,LAL,2025-03-11,@,False,0.0
76,2025-04-03,10:00p,Golden State Warriors,,,,,,,,,,Los Angeles Lakers,LAL,2025-03-11,@,False,0.0
77,2025-04-04,10:30p,New Orleans Pelicans,,,,,,,,,,Los Angeles Lakers,LAL,2025-03-11,@,False,0.0
78,2025-04-06,3:30p,Oklahoma City Thunder,,,,,,,,,,Los Angeles Lakers,LAL,2025-03-11,,True,1.0
79,2025-04-08,8:00p,Oklahoma City Thunder,,,,,,,,,,Los Angeles Lakers,LAL,2025-03-11,@,False,0.0
80,2025-04-09,7:30p,Dallas Mavericks,,,,,,,,,,Los Angeles Lakers,LAL,2025-03-11,,True,1.0
81,2025-04-11,10:30p,Houston Rockets,,,,,,,,,,Los Angeles Lakers,LAL,2025-03-11,,True,1.0
82,2025-04-13,3:30p,Portland Trail Blazers,,,,,,,,,,Los Angeles Lakers,LAL,2025-03-11,,True,1.0
G,,Start (ET),Opponent,,,W,L,Streak,Attend.,LOG,Notes,,Los Angeles Lakers,LAL,2025-03-11,@,False,0.0
G,,Start (ET),Opponent,,,W,L,Streak,Attend.,LOG,Notes,,Los Angeles Lakers,LAL,2025-03-11,,True,1.0
G,,Start (ET),Opponent,,,W,L,Streak,Attend.,LOG,Notes,,Los Angeles Lakers,LAL,2025-03-11,@,False,0.0
G,,Start (ET),Opponent,,,W,L,Streak,Attend.,LOG,Notes,,Los Angeles Lakers,LAL,2025-03-11,,True,1.0
